pmid	file_path:line	cited_author	cited_year	cited_journal	pubmed_author	pubmed_year	pubmed_journal	status	suggested_correction_pmid	severity
26104444	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/red_team_review.md:177			Microbiol Spectr	Halstead	2014	Microbiol Spectr	FLAGGED_IN_AUDIT_DOC		informational
28492867	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/red_team_review.md:183			Issue:	Madaan	2017	JAMA Psychiatry	FLAGGED_IN_AUDIT_DOC		informational
19402892	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/red_team_review.md:183			Issue:	Lewis	2009	BMC Genomics	FLAGGED_IN_AUDIT_DOC		informational
21737702	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/red_team_review.md:315				Ekiert	2011	Science	FLAGGED_IN_AUDIT_DOC		informational
26104444	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/integration_audit.md:74			 §3.4 line 99 cites "Halstead 2014 	Halstead	2014	Microbiol Spectr	FLAGGED_IN_AUDIT_DOC		informational
26104444	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/integration_audit.md:74			Microbiol Spectr	Halstead	2014	Microbiol Spectr	FLAGGED_IN_AUDIT_DOC		informational
25581790	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/integration_audit.md:174			Where:	Rouvinski	2015	Nature	FLAGGED_IN_AUDIT_DOC		informational
12759475	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:40				Modis	2003	Proc Natl Acad Sci U S A	OK		minor
25581790	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:54				Rouvinski	2015	Nature	OK		minor
22139356	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:68				Cockburn	2012	EMBO J	OK		minor
25501631	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:83				Dejnirattisai	2015	Nat Immunol	OK		minor
17993365	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:97				Halstead	2007	Lancet	OK		minor
26104444	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:112				Halstead	2014	Microbiol Spectr	OK		minor
21746897	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:133				Chan	2011	Proc Natl Acad Sci U S A	OK		minor
23717696	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:147				Chawla	2013	PLoS One	OK		minor
41012654	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/paperclip_research/structural_ade_citations.md:161				Kraivong	2025	Viruses	OK		minor
23563266	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/citation_audit.md:8				Bhatt	2013	Nature	FLAGGED_IN_AUDIT_DOC		informational
30067296	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/citation_audit.md:9				Gundale	2019	New Phytol	FLAGGED_IN_AUDIT_DOC		informational
38477990	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/citation_audit.md:10				Drivenes	2024	N Engl J Med	FLAGGED_IN_AUDIT_DOC		informational
38294966	/Users/jamesweatherhead/Desktop/dengue-fork/docs/dengue/citation_audit.md:11				Birkenes	2024	Knee Surg Sports Traumatol Arthrosc	FLAGGED_IN_AUDIT_DOC		informational
