region	locus	rows	path
nigeria	DRB1	22	/data/james/ica-dengue/afnd_tables/nigeria_DRB1.tsv
peru	A	52	/data/james/ica-dengue/afnd_tables/peru_A.tsv
peru	B	113	/data/james/ica-dengue/afnd_tables/peru_B.tsv
peru	C	22	/data/james/ica-dengue/afnd_tables/peru_C.tsv
peru	DPB1	0	/data/james/ica-dengue/afnd_tables/peru_DPB1.tsv
peru	DQB1	48	/data/james/ica-dengue/afnd_tables/peru_DQB1.tsv
peru	DRB1	107	/data/james/ica-dengue/afnd_tables/peru_DRB1.tsv
senegal	A	25	/data/james/ica-dengue/afnd_tables/senegal_A.tsv
senegal	B	58	/data/james/ica-dengue/afnd_tables/senegal_B.tsv
senegal	C	43	/data/james/ica-dengue/afnd_tables/senegal_C.tsv
senegal	DPB1	0	/data/james/ica-dengue/afnd_tables/senegal_DPB1.tsv
senegal	DQB1	0	/data/james/ica-dengue/afnd_tables/senegal_DQB1.tsv
senegal	DRB1	18	/data/james/ica-dengue/afnd_tables/senegal_DRB1.tsv
tanzania	A	38	/data/james/ica-dengue/afnd_tables/tanzania_A.tsv
tanzania	B	88	/data/james/ica-dengue/afnd_tables/tanzania_B.tsv
tanzania	C	78	/data/james/ica-dengue/afnd_tables/tanzania_C.tsv
tanzania	DPB1	30	/data/james/ica-dengue/afnd_tables/tanzania_DPB1.tsv
tanzania	DQB1	22	/data/james/ica-dengue/afnd_tables/tanzania_DQB1.tsv
tanzania	DRB1	39	/data/james/ica-dengue/afnd_tables/tanzania_DRB1.tsv
thailand	A	77	/data/james/ica-dengue/afnd_tables/thailand_A.tsv
thailand	B	164	/data/james/ica-dengue/afnd_tables/thailand_B.tsv
thailand	C	44	/data/james/ica-dengue/afnd_tables/thailand_C.tsv
thailand	DPB1	86	/data/james/ica-dengue/afnd_tables/thailand_DPB1.tsv
thailand	DQB1	81	/data/james/ica-dengue/afnd_tables/thailand_DQB1.tsv
thailand	DRB1	191	/data/james/ica-dengue/afnd_tables/thailand_DRB1.tsv
vietnam	A	63	/data/james/ica-dengue/afnd_tables/vietnam_A.tsv
vietnam	B	100	/data/james/ica-dengue/afnd_tables/vietnam_B.tsv
vietnam	C	51	/data/james/ica-dengue/afnd_tables/vietnam_C.tsv
vietnam	DPB1	0	/data/james/ica-dengue/afnd_tables/vietnam_DPB1.tsv
vietnam	DQB1	93	/data/james/ica-dengue/afnd_tables/vietnam_DQB1.tsv
vietnam	DRB1	106	/data/james/ica-dengue/afnd_tables/vietnam_DRB1.tsv
