locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
A	brazil_south	Brazil	A*24	Brazil REDOME Rio Grande do Sul	3185		0.1055	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*24	Brazil REDOME Santa Catarina	3188		0.0999	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*24	Brazil Rio Grande do Sul Black	3196		0.0900	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*24	Brazil Rio Grande do Sul Caucasoid	3197		0.1040	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*24	Brazil Rio Grande do Sul Mixed	3198		0.1000	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*25	Brazil REDOME Rio Grande do Sul	3185		0.0163	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*25	Brazil REDOME Santa Catarina	3188		0.0171	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*25	Brazil Rio Grande do Sul Black	3196		0.0160	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*25	Brazil Rio Grande do Sul Caucasoid	3197		0.0170	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*25	Brazil Rio Grande do Sul Mixed	3198		0.0120	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*26	Brazil REDOME Rio Grande do Sul	3185		0.0343	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*26	Brazil REDOME Santa Catarina	3188		0.0361	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*26	Brazil Rio Grande do Sul Black	3196		0.0240	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*26	Brazil Rio Grande do Sul Caucasoid	3197		0.0310	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*26	Brazil Rio Grande do Sul Mixed	3198		0.0240	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*29	Brazil REDOME Rio Grande do Sul	3185		0.0448	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*29	Brazil REDOME Santa Catarina	3188		0.0476	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*29	Brazil Rio Grande do Sul Black	3196		0.0460	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*29	Brazil Rio Grande do Sul Caucasoid	3197		0.0460	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*29	Brazil Rio Grande do Sul Mixed	3198		0.0490	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*30	Brazil REDOME Rio Grande do Sul	3185		0.0342	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*30	Brazil REDOME Santa Catarina	3188		0.0315	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*30	Brazil Rio Grande do Sul Black	3196		0.0960	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*30	Brazil Rio Grande do Sul Caucasoid	3197		0.0310	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*30	Brazil Rio Grande do Sul Mixed	3198		0.0500	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*31	Brazil REDOME Rio Grande do Sul	3185		0.0489	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*31	Brazil REDOME Santa Catarina	3188		0.0460	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*31	Brazil Rio Grande do Sul Black	3196		0.0800	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*31	Brazil Rio Grande do Sul Caucasoid	3197		0.0490	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*31	Brazil Rio Grande do Sul Mixed	3198		0.0700	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*32	Brazil REDOME Rio Grande do Sul	3185		0.0364	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*32	Brazil REDOME Santa Catarina	3188		0.0356	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*32	Brazil Rio Grande do Sul Black	3196		0.0120	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*32	Brazil Rio Grande do Sul Caucasoid	3197		0.0370	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*32	Brazil Rio Grande do Sul Mixed	3198		0.0240	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*33	Brazil REDOME Rio Grande do Sul	3185		0.0238	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*33	Brazil REDOME Santa Catarina	3188		0.0230	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*33	Brazil Rio Grande do Sul Black	3196		0.0600	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*33	Brazil Rio Grande do Sul Caucasoid	3197		0.0260	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*33	Brazil Rio Grande do Sul Mixed	3198		0.0270	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*34	Brazil REDOME Rio Grande do Sul	3185		0.0036	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*34	Brazil REDOME Santa Catarina	3188		0.0029	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*34	Brazil Rio Grande do Sul Black	3196		0.0140	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
A	brazil_south	Brazil	A*34	Brazil Rio Grande do Sul Caucasoid	3197		0.0030	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=A&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
