locus	region	country	allele	population	pop_id	pct_individuals	allele_frequency	sample_size	source
DRB1	brazil_south	Brazil	DRB1*08	Brazil Rio Grande do Sul Mixed	3198		0.0700	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil REDOME Rio Grande do Sul	3185		0.0158	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil REDOME Santa Catarina	3188		0.0124	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil Rio Grande do Sul Black	3196		0.0300	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil Rio Grande do Sul Caucasoid	3197		0.0140	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*09	Brazil Rio Grande do Sul Mixed	3198		0.0210	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil REDOME Rio Grande do Sul	3185		0.0152	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil REDOME Santa Catarina	3188		0.0158	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil Rio Grande do Sul Black	3196		0.0280	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil Rio Grande do Sul Caucasoid	3197		0.0140	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*10	Brazil Rio Grande do Sul Mixed	3198		0.0130	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*11	Brazil REDOME Rio Grande do Sul	3185		0.1292	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*11	Brazil REDOME Santa Catarina	3188		0.1234	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*11	Brazil Rio Grande do Sul Black	3196		0.0920	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*11	Brazil Rio Grande do Sul Caucasoid	3197		0.1220	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*11	Brazil Rio Grande do Sul Mixed	3198		0.1000	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*12	Brazil REDOME Rio Grande do Sul	3185		0.0163	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*12	Brazil REDOME Santa Catarina	3188		0.0159	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*12	Brazil Rio Grande do Sul Black	3196		0.0180	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*12	Brazil Rio Grande do Sul Caucasoid	3197		0.0180	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*12	Brazil Rio Grande do Sul Mixed	3198		0.0130	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*13	Brazil REDOME Rio Grande do Sul	3185		0.1320	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*13	Brazil REDOME Santa Catarina	3188		0.1314	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*13	Brazil Rio Grande do Sul Black	3196		0.1510	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*13	Brazil Rio Grande do Sul Caucasoid	3197		0.1360	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*13	Brazil Rio Grande do Sul Mixed	3198		0.1350	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*14	Brazil REDOME Rio Grande do Sul	3185		0.0449	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*14	Brazil REDOME Santa Catarina	3188		0.0403	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*14	Brazil Rio Grande do Sul Black	3196		0.0520	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*14	Brazil Rio Grande do Sul Caucasoid	3197		0.0420	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*14	Brazil Rio Grande do Sul Mixed	3198		0.0470	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*15	Brazil REDOME Rio Grande do Sul	3185		0.0962	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*15	Brazil REDOME Santa Catarina	3188		0.1018	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*15	Brazil Rio Grande do Sul Black	3196		0.1060	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*15	Brazil Rio Grande do Sul Caucasoid	3197		0.0890	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*15	Brazil Rio Grande do Sul Mixed	3198		0.0980	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*16	Brazil REDOME Rio Grande do Sul	3185		0.0372	241329	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*16	Brazil REDOME Santa Catarina	3188		0.0365	106673	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*16	Brazil Rio Grande do Sul Black	3196		0.0400	248	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*16	Brazil Rio Grande do Sul Caucasoid	3197		0.0350	4428	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
DRB1	brazil_south	Brazil	DRB1*16	Brazil Rio Grande do Sul Mixed	3198		0.0410	324	http://www.allelefrequencies.net/hla6006a.asp?hla_locus=DRB1&hla_locus_type=Classical&hla_show=&hla_order=order_1&page=1&standard=&hla_country=Brazil
